,disease_pair,correct_node,negative_samples,disease_1,disease_2,options_combined,text,disease_1_id,disease_2_id
23,"('interstitial lung disease', 'myeloproliferative neoplasm')",TERT,"IL23R, ZFPM2, THADA, IL23R",interstitial lung disease,myeloproliferative neoplasm," ZFPM2,  IL23R, TERT,  THADA, IL23R","Out of the given list, which Gene is associated with interstitial lung disease and myeloproliferative neoplasm. Given list is:  ZFPM2,  IL23R, TERT,  THADA, IL23R",DOID:3082,DOID:2226
24,"('interstitial lung disease', 'central nervous system cancer')",TERT,"SLC14A2, FGFR2, HLA-DQA1, GTF2I",interstitial lung disease,central nervous system cancer," FGFR2, TERT,  HLA-DQA1,  GTF2I, SLC14A2","Out of the given list, which Gene is associated with interstitial lung disease and central nervous system cancer. Given list is:  FGFR2, TERT,  HLA-DQA1,  GTF2I, SLC14A2",DOID:3082,DOID:3620
25,"('interstitial lung disease', 'estrogen-receptor negative breast cancer')",TERT,"PRKAA1, SHTN1, CACNB2, ERAP1",interstitial lung disease,estrogen-receptor negative breast cancer,"TERT,  CACNB2,  ERAP1, PRKAA1,  SHTN1","Out of the given list, which Gene is associated with interstitial lung disease and estrogen-receptor negative breast cancer. Given list is: TERT,  CACNB2,  ERAP1, PRKAA1,  SHTN1",DOID:3082,DOID:0060076
26,"('interstitial lung disease', 'lung adenocarcinoma')",TERT,"SYT14, USHBP1, BARD1, CHST11",interstitial lung disease,lung adenocarcinoma," CHST11, SYT14, TERT,  BARD1,  USHBP1","Out of the given list, which Gene is associated with interstitial lung disease and lung adenocarcinoma. Given list is:  CHST11, SYT14, TERT,  BARD1,  USHBP1",DOID:3082,DOID:3910
27,"('interstitial lung disease', 'lung carcinoma')",TERT,"TFAP2B, BRCA2, BTN2A1, STAT3",interstitial lung disease,lung carcinoma," BTN2A1,  BRCA2,  STAT3, TERT, TFAP2B","Out of the given list, which Gene is associated with interstitial lung disease and lung carcinoma. Given list is:  BTN2A1,  BRCA2,  STAT3, TERT, TFAP2B",DOID:3082,DOID:3905
28,"('triple-receptor negative breast cancer', 'interstitial lung disease')",TERT,"YLPM1, FGFR2, AFAP1, ADGRG6",triple-receptor negative breast cancer,interstitial lung disease," ADGRG6,  FGFR2,  AFAP1, TERT, YLPM1","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and interstitial lung disease. Given list is:  ADGRG6,  FGFR2,  AFAP1, TERT, YLPM1",DOID:0060081,DOID:3082
29,"('triple-receptor negative breast cancer', 'idiopathic pulmonary fibrosis')",TERT,"CRTC1, ULK4, ATG5, WNT10A",triple-receptor negative breast cancer,idiopathic pulmonary fibrosis,"CRTC1, TERT,  ATG5,  WNT10A,  ULK4","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and idiopathic pulmonary fibrosis. Given list is: CRTC1, TERT,  ATG5,  WNT10A,  ULK4",DOID:0060081,DOID:0050156
30,"('triple-receptor negative breast cancer', 'myeloproliferative neoplasm')",TERT,"ADGRG6, ERAP1, ULK4, SNCA",triple-receptor negative breast cancer,myeloproliferative neoplasm," ERAP1,  SNCA, TERT,  ULK4, ADGRG6","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and myeloproliferative neoplasm. Given list is:  ERAP1,  SNCA, TERT,  ULK4, ADGRG6",DOID:0060081,DOID:2226
31,"('triple-receptor negative breast cancer', 'central nervous system cancer')",TERT,"IL6, HLA-DQA1, ATXN2, PLG",triple-receptor negative breast cancer,central nervous system cancer," PLG,  HLA-DQA1, IL6,  ATXN2, TERT","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and central nervous system cancer. Given list is:  PLG,  HLA-DQA1, IL6,  ATXN2, TERT",DOID:0060081,DOID:3620
32,"('triple-receptor negative breast cancer', 'estrogen-receptor negative breast cancer')",TERT,"ATP2B1, KIT, IL6, DGKK",triple-receptor negative breast cancer,estrogen-receptor negative breast cancer,"TERT,  KIT,  DGKK, ATP2B1,  IL6","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and estrogen-receptor negative breast cancer. Given list is: TERT,  KIT,  DGKK, ATP2B1,  IL6",DOID:0060081,DOID:0060076
33,"('triple-receptor negative breast cancer', 'lung adenocarcinoma')",TERT,"IGF1R, LRMDA, POU5F1B, PLG",triple-receptor negative breast cancer,lung adenocarcinoma,"TERT,  POU5F1B,  PLG, IGF1R,  LRMDA","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and lung adenocarcinoma. Given list is: TERT,  POU5F1B,  PLG, IGF1R,  LRMDA",DOID:0060081,DOID:3910
34,"('triple-receptor negative breast cancer', 'lung carcinoma')",TERT,"C5, FADS2, PTPN22, FCGR2A",triple-receptor negative breast cancer,lung carcinoma," PTPN22, C5, TERT,  FCGR2A,  FADS2","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and lung carcinoma. Given list is:  PTPN22, C5, TERT,  FCGR2A,  FADS2",DOID:0060081,DOID:3905
35,"('lung small cell carcinoma', 'opiate dependence')",ADGRV1,"TERT, CLPTM1L, CFH, FAT3",lung small cell carcinoma,opiate dependence," CFH,  CLPTM1L, TERT,  FAT3, ADGRV1","Out of the given list, which Gene is associated with lung small cell carcinoma and opiate dependence. Given list is:  CFH,  CLPTM1L, TERT,  FAT3, ADGRV1",DOID:5409,DOID:2559
36,"('lung small cell carcinoma', 'cervix carcinoma')",ADGRV1,"TERT, PHGDH, CACNA1D, TFAP2B",lung small cell carcinoma,cervix carcinoma,"TERT, ADGRV1,  PHGDH,  CACNA1D,  TFAP2B","Out of the given list, which Gene is associated with lung small cell carcinoma and cervix carcinoma. Given list is: TERT, ADGRV1,  PHGDH,  CACNA1D,  TFAP2B",DOID:5409,DOID:2893
37,"('male breast cancer', 'urticaria')",RAD51B,"ABO, PHGDH, TERT, BABAM1",male breast cancer,urticaria," BABAM1, RAD51B,  PHGDH, ABO,  TERT","Out of the given list, which Gene is associated with male breast cancer and urticaria. Given list is:  BABAM1, RAD51B,  PHGDH, ABO,  TERT",DOID:1614,DOID:1555
38,"('idiopathic pulmonary fibrosis', 'interstitial lung disease')",TERT,"HLA-DQA1, CLPTM1L, COL22A1, KIF1B",idiopathic pulmonary fibrosis,interstitial lung disease," COL22A1,  KIF1B, TERT,  CLPTM1L, HLA-DQA1","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and interstitial lung disease. Given list is:  COL22A1,  KIF1B, TERT,  CLPTM1L, HLA-DQA1",DOID:0050156,DOID:3082
39,"('idiopathic pulmonary fibrosis', 'triple-receptor negative breast cancer')",TERT,"DNMT3A, RELN, PLA2R1, ABO",idiopathic pulmonary fibrosis,triple-receptor negative breast cancer," RELN, TERT,  PLA2R1, DNMT3A,  ABO","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and triple-receptor negative breast cancer. Given list is:  RELN, TERT,  PLA2R1, DNMT3A,  ABO",DOID:0050156,DOID:0060081
40,"('idiopathic pulmonary fibrosis', 'myeloproliferative neoplasm')",TERT,"STAT4, ADGRV1, UMPS, UMOD",idiopathic pulmonary fibrosis,myeloproliferative neoplasm,"STAT4,  UMOD,  ADGRV1,  UMPS, TERT","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and myeloproliferative neoplasm. Given list is: STAT4,  UMOD,  ADGRV1,  UMPS, TERT",DOID:0050156,DOID:2226
41,"('idiopathic pulmonary fibrosis', 'central nervous system cancer')",TERT,"LOXL1, IL6, RP1, KALRN",idiopathic pulmonary fibrosis,central nervous system cancer,"LOXL1, TERT,  KALRN,  RP1,  IL6","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and central nervous system cancer. Given list is: LOXL1, TERT,  KALRN,  RP1,  IL6",DOID:0050156,DOID:3620
42,"('idiopathic pulmonary fibrosis', 'estrogen-receptor negative breast cancer')",TERT,"NTM, IGF2BP2, TNFSF15, STN1",idiopathic pulmonary fibrosis,estrogen-receptor negative breast cancer,"TERT,  TNFSF15, NTM,  IGF2BP2,  STN1","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and estrogen-receptor negative breast cancer. Given list is: TERT,  TNFSF15, NTM,  IGF2BP2,  STN1",DOID:0050156,DOID:0060076
43,"('idiopathic pulmonary fibrosis', 'lung adenocarcinoma')",TERT,"HLA-B, PSCA, CFH, USHBP1",idiopathic pulmonary fibrosis,lung adenocarcinoma,"HLA-B,  CFH,  PSCA, TERT,  USHBP1","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and lung adenocarcinoma. Given list is: HLA-B,  CFH,  PSCA, TERT,  USHBP1",DOID:0050156,DOID:3910
44,"('idiopathic pulmonary fibrosis', 'lung carcinoma')",TERT,"ABCG2, ERAP1, SULT1B1, CHST11",idiopathic pulmonary fibrosis,lung carcinoma,"ABCG2,  SULT1B1,  ERAP1, TERT,  CHST11","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and lung carcinoma. Given list is: ABCG2,  SULT1B1,  ERAP1, TERT,  CHST11",DOID:0050156,DOID:3905
45,"('thyroid gland papillary carcinoma', 'hypothyroidism')",VAV3,"PRNP, CLPTM1L, MYBPC3, FAM227B",thyroid gland papillary carcinoma,hypothyroidism," CLPTM1L,  MYBPC3,  FAM227B, VAV3, PRNP","Out of the given list, which Gene is associated with thyroid gland papillary carcinoma and hypothyroidism. Given list is:  CLPTM1L,  MYBPC3,  FAM227B, VAV3, PRNP",DOID:3969,DOID:1459
46,"('thyroid gland papillary carcinoma', 'differentiated thyroid gland carcinoma')",VAV3,"POU5F1B, ACOXL, PSCA, ZFPM2",thyroid gland papillary carcinoma,differentiated thyroid gland carcinoma," ACOXL, POU5F1B, VAV3,  PSCA,  ZFPM2","Out of the given list, which Gene is associated with thyroid gland papillary carcinoma and differentiated thyroid gland carcinoma. Given list is:  ACOXL, POU5F1B, VAV3,  PSCA,  ZFPM2",DOID:3969,DOID:0080525
47,"('mature B-cell neoplasm', 'androgenic alopecia')",SLC14A2,"ERAP1, PRKAG2, HLA-DPA1, FER",mature B-cell neoplasm,androgenic alopecia," HLA-DPA1,  PRKAG2, ERAP1, SLC14A2,  FER","Out of the given list, which Gene is associated with mature B-cell neoplasm and androgenic alopecia. Given list is:  HLA-DPA1,  PRKAG2, ERAP1, SLC14A2,  FER",DOID:706,DOID:0050801
48,"('mature B-cell neoplasm', 'cocaine dependence')",SLC14A2,"PLG, TLR1, IL12RB2, SCN1A",mature B-cell neoplasm,cocaine dependence," TLR1, SLC14A2,  SCN1A,  IL12RB2, PLG","Out of the given list, which Gene is associated with mature B-cell neoplasm and cocaine dependence. Given list is:  TLR1, SLC14A2,  SCN1A,  IL12RB2, PLG",DOID:706,DOID:9975
49,"('hepatitis B', 'lymphoma')",HLA-DQB2,"STAT4, FBN1, KALRN, ALDH1A2",hepatitis B,lymphoma," KALRN, HLA-DQB2,  ALDH1A2, STAT4,  FBN1","Out of the given list, which Gene is associated with hepatitis B and lymphoma. Given list is:  KALRN, HLA-DQB2,  ALDH1A2, STAT4,  FBN1",DOID:2043,DOID:0060058
50,"('autoimmune hepatitis', 'membranous glomerulonephritis')",HLA-DQA1,"TNFSF13, CFH, KITLG, STAT4",autoimmune hepatitis,membranous glomerulonephritis," STAT4, HLA-DQA1, TNFSF13,  CFH,  KITLG","Out of the given list, which Gene is associated with autoimmune hepatitis and membranous glomerulonephritis. Given list is:  STAT4, HLA-DQA1, TNFSF13,  CFH,  KITLG",DOID:2048,DOID:10976
51,"('autoimmune hepatitis', 'oral cavity cancer')",HLA-DQB1,"HLF, DLEU7, SULT1B1, CACNA2D1",autoimmune hepatitis,oral cavity cancer," CACNA2D1, HLF,  SULT1B1, HLA-DQB1,  DLEU7","Out of the given list, which Gene is associated with autoimmune hepatitis and oral cavity cancer. Given list is:  CACNA2D1, HLF,  SULT1B1, HLA-DQB1,  DLEU7",DOID:2048,DOID:8618
52,"('autoimmune hepatitis', 'immunoglobulin alpha deficiency')",HLA-DQA1,"HLA-DQA1, PLA2R1, UCK2, HLA-DQB1",autoimmune hepatitis,immunoglobulin alpha deficiency,"HLA-DQA1,  HLA-DQB1,  UCK2,  PLA2R1, HLA-DQA1","Out of the given list, which Gene is associated with autoimmune hepatitis and immunoglobulin alpha deficiency. Given list is: HLA-DQA1,  HLA-DQB1,  UCK2,  PLA2R1, HLA-DQA1",DOID:2048,DOID:0060025
53,"('autoimmune hepatitis', 'collagenous colitis')",HLA-DQA1,"PLA2R1, TERT, NANOS1, KALRN",autoimmune hepatitis,collagenous colitis," KALRN,  TERT, PLA2R1,  NANOS1, HLA-DQA1","Out of the given list, which Gene is associated with autoimmune hepatitis and collagenous colitis. Given list is:  KALRN,  TERT, PLA2R1,  NANOS1, HLA-DQA1",DOID:2048,DOID:0060183
54,"('autoimmune hepatitis', 'oropharynx cancer')",HLA-DQB1,"TMEM71, LOXL1, BTBD9, EYA2",autoimmune hepatitis,oropharynx cancer," EYA2,  LOXL1,  BTBD9, TMEM71, HLA-DQB1","Out of the given list, which Gene is associated with autoimmune hepatitis and oropharynx cancer. Given list is:  EYA2,  LOXL1,  BTBD9, TMEM71, HLA-DQB1",DOID:2048,DOID:8557
55,"('autoimmune hepatitis', 'nephrotic syndrome')",HLA-DQB1,"EPDR1, IGF1R, SLC17A4, IL2RA",autoimmune hepatitis,nephrotic syndrome," IGF1R, HLA-DQB1,  IL2RA,  SLC17A4, EPDR1","Out of the given list, which Gene is associated with autoimmune hepatitis and nephrotic syndrome. Given list is:  IGF1R, HLA-DQB1,  IL2RA,  SLC17A4, EPDR1",DOID:2048,DOID:1184
56,"('autoimmune hepatitis', 'rheumatic heart disease')",HLA-DQB1,"THADA, GSDMB, ALDH1A2, KAT2B",autoimmune hepatitis,rheumatic heart disease," KAT2B, HLA-DQB1,  GSDMB,  ALDH1A2, THADA","Out of the given list, which Gene is associated with autoimmune hepatitis and rheumatic heart disease. Given list is:  KAT2B, HLA-DQB1,  GSDMB,  ALDH1A2, THADA",DOID:2048,DOID:0050827
57,"('autoimmune hepatitis', 'cutaneous lupus erythematosus')",HLA-DQA1,"CCDC33, CACNB2, PTPN22, IL2RA",autoimmune hepatitis,cutaneous lupus erythematosus," PTPN22, HLA-DQA1,  CACNB2, CCDC33,  IL2RA","Out of the given list, which Gene is associated with autoimmune hepatitis and cutaneous lupus erythematosus. Given list is:  PTPN22, HLA-DQA1,  CACNB2, CCDC33,  IL2RA",DOID:2048,DOID:0050169
58,"('autoimmune hepatitis', 'cervix carcinoma')",HLA-DQA1,"CACNA1S, FAT3, CACNA2D1, HLA-DPA1",autoimmune hepatitis,cervix carcinoma," FAT3,  HLA-DPA1, HLA-DQA1, CACNA1S,  CACNA2D1","Out of the given list, which Gene is associated with autoimmune hepatitis and cervix carcinoma. Given list is:  FAT3,  HLA-DPA1, HLA-DQA1, CACNA1S,  CACNA2D1",DOID:2048,DOID:2893
59,"('primary angle-closure glaucoma', 'periodontitis')",EPDR1,"SHTN1, POU5F1B, USHBP1, ADH1B",primary angle-closure glaucoma,periodontitis,"EPDR1,  ADH1B,  USHBP1,  POU5F1B, SHTN1","Out of the given list, which Gene is associated with primary angle-closure glaucoma and periodontitis. Given list is: EPDR1,  ADH1B,  USHBP1,  POU5F1B, SHTN1",DOID:1405,DOID:824
62,"('hypothyroidism', 'thyroid gland papillary carcinoma')",VAV3,"FAM13A, TERT, PRKACB, ZFPM2",hypothyroidism,thyroid gland papillary carcinoma," PRKACB, FAM13A, VAV3,  ZFPM2,  TERT","Out of the given list, which Gene is associated with hypothyroidism and thyroid gland papillary carcinoma. Given list is:  PRKACB, FAM13A, VAV3,  ZFPM2,  TERT",DOID:1459,DOID:3969
63,"('hypothyroidism', 'differentiated thyroid gland carcinoma')",VAV3,"STAT4, RP1, RELN, PNPLA3",hypothyroidism,differentiated thyroid gland carcinoma," PNPLA3,  RELN,  RP1, STAT4, VAV3","Out of the given list, which Gene is associated with hypothyroidism and differentiated thyroid gland carcinoma. Given list is:  PNPLA3,  RELN,  RP1, STAT4, VAV3",DOID:1459,DOID:0080525
65,"('liver cirrhosis', 'head and neck cancer')",CACNA2D1,"YLPM1, HLA-DQA1, ADGRV1, STN1",liver cirrhosis,head and neck cancer,"CACNA2D1,  HLA-DQA1,  ADGRV1, YLPM1,  STN1","Out of the given list, which Gene is associated with liver cirrhosis and head and neck cancer. Given list is: CACNA2D1,  HLA-DQA1,  ADGRV1, YLPM1,  STN1",DOID:5082,DOID:11934
67,"('liver cirrhosis', 'uveal melanoma')",CACNA2D1,"SULT1B1, VAV3, NTM, PSCA",liver cirrhosis,uveal melanoma," VAV3,  PSCA, CACNA2D1,  NTM, SULT1B1","Out of the given list, which Gene is associated with liver cirrhosis and uveal melanoma. Given list is:  VAV3,  PSCA, CACNA2D1,  NTM, SULT1B1",DOID:5082,DOID:6039
68,"(""Takayasu's arteritis"", 'psoriasis')",HLA-B,"RGS14, CACNA1C, ABCG2, PTPN22",Takayasu's arteritis,psoriasis," ABCG2, HLA-B,  CACNA1C, RGS14,  PTPN22","Out of the given list, which Gene is associated with Takayasu's arteritis and psoriasis. Given list is:  ABCG2, HLA-B,  CACNA1C, RGS14,  PTPN22",DOID:2508,DOID:8893
69,"(""Takayasu's arteritis"", 'myelodysplastic syndrome')",HLA-B,"RBFOX1, ERAP1, CCDC33, PCDH15",Takayasu's arteritis,myelodysplastic syndrome," CCDC33,  PCDH15, RBFOX1, HLA-B,  ERAP1","Out of the given list, which Gene is associated with Takayasu's arteritis and myelodysplastic syndrome. Given list is:  CCDC33,  PCDH15, RBFOX1, HLA-B,  ERAP1",DOID:2508,DOID:0050908
70,"(""Takayasu's arteritis"", 'herpes zoster')",HLA-B,"HBB, STAT6, CFH, HLA-DQA1",Takayasu's arteritis,herpes zoster,"HLA-B,  STAT6,  HLA-DQA1, HBB,  CFH","Out of the given list, which Gene is associated with Takayasu's arteritis and herpes zoster. Given list is: HLA-B,  STAT6,  HLA-DQA1, HBB,  CFH",DOID:2508,DOID:8536
71,"(""Takayasu's arteritis"", 'allergic rhinitis')",HLA-B,"HLA-DQB2, TNRC6B, FAM13A, CRTC1",Takayasu's arteritis,allergic rhinitis,"HLA-DQB2,  CRTC1,  FAM13A,  TNRC6B, HLA-B","Out of the given list, which Gene is associated with Takayasu's arteritis and allergic rhinitis. Given list is: HLA-DQB2,  CRTC1,  FAM13A,  TNRC6B, HLA-B",DOID:2508,DOID:4481
