disease_pair,correct_node,negative_samples,disease_1,disease_2,options_combined,text,disease_1_id,disease_2_id
"('allergic rhinitis', ""Takayasu's arteritis"")",HLA-B,"STN1, MORC4, ABO, PNPLA3",allergic rhinitis,Takayasu's arteritis," MORC4, STN1,  ABO, HLA-B,  PNPLA3","Out of the given list, which Gene is associated with allergic rhinitis and Takayasu's arteritis. Given list is:  MORC4, STN1,  ABO, HLA-B,  PNPLA3",DOID:4481,DOID:2508
"('thyroid gland papillary carcinoma', 'differentiated thyroid gland carcinoma')",VAV3,"POU5F1B, ACOXL, PSCA, ZFPM2",thyroid gland papillary carcinoma,differentiated thyroid gland carcinoma," ACOXL, POU5F1B, VAV3,  PSCA,  ZFPM2","Out of the given list, which Gene is associated with thyroid gland papillary carcinoma and differentiated thyroid gland carcinoma. Given list is:  ACOXL, POU5F1B, VAV3,  PSCA,  ZFPM2",DOID:3969,DOID:0080525
"('cocaine dependence', 'mature B-cell neoplasm')",SLC14A2,"ERAP1, TP63, CHST11, GSDMB",cocaine dependence,mature B-cell neoplasm," CHST11,  GSDMB, ERAP1,  TP63, SLC14A2","Out of the given list, which Gene is associated with cocaine dependence and mature B-cell neoplasm. Given list is:  CHST11,  GSDMB, ERAP1,  TP63, SLC14A2",DOID:9975,DOID:706
"('triple-receptor negative breast cancer', 'idiopathic pulmonary fibrosis')",TERT,"CRTC1, ULK4, ATG5, WNT10A",triple-receptor negative breast cancer,idiopathic pulmonary fibrosis,"CRTC1, TERT,  ATG5,  WNT10A,  ULK4","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and idiopathic pulmonary fibrosis. Given list is: CRTC1, TERT,  ATG5,  WNT10A,  ULK4",DOID:0060081,DOID:0050156
"('lung adenocarcinoma', 'idiopathic pulmonary fibrosis')",TERT,"PSCA, SLC14A2, SLC14A2, MTTP",lung adenocarcinoma,idiopathic pulmonary fibrosis," SLC14A2,  SLC14A2,  MTTP, PSCA, TERT","Out of the given list, which Gene is associated with lung adenocarcinoma and idiopathic pulmonary fibrosis. Given list is:  SLC14A2,  SLC14A2,  MTTP, PSCA, TERT",DOID:3910,DOID:0050156
"('allergic rhinitis', 'diffuse large B-cell lymphoma')",HLA-B,"ATXN2, TERT, CACNA1A, EPDR1",allergic rhinitis,diffuse large B-cell lymphoma,"HLA-B,  CACNA1A,  TERT,  EPDR1, ATXN2","Out of the given list, which Gene is associated with allergic rhinitis and diffuse large B-cell lymphoma. Given list is: HLA-B,  CACNA1A,  TERT,  EPDR1, ATXN2",DOID:4481,DOID:0050745
"('myeloproliferative neoplasm', 'lung adenocarcinoma')",TERT,"HLA-DQB1, STAT6, SLC17A4, PRX",myeloproliferative neoplasm,lung adenocarcinoma," SLC17A4,  STAT6, HLA-DQB1, TERT,  PRX","Out of the given list, which Gene is associated with myeloproliferative neoplasm and lung adenocarcinoma. Given list is:  SLC17A4,  STAT6, HLA-DQB1, TERT,  PRX",DOID:2226,DOID:3910
"('androgenic alopecia', 'mature B-cell neoplasm')",SLC14A2,"HLA-B, PHGDH, TM6SF2, TTLL5",androgenic alopecia,mature B-cell neoplasm," TM6SF2, HLA-B, SLC14A2,  PHGDH,  TTLL5","Out of the given list, which Gene is associated with androgenic alopecia and mature B-cell neoplasm. Given list is:  TM6SF2, HLA-B, SLC14A2,  PHGDH,  TTLL5",DOID:0050801,DOID:706
"('ankylosing spondylitis', 'inflammatory bowel disease')",IL23R,"UCK2, LPP, YLPM1, DAB2IP",ankylosing spondylitis,inflammatory bowel disease," LPP, UCK2,  YLPM1,  DAB2IP, IL23R","Out of the given list, which Gene is associated with ankylosing spondylitis and inflammatory bowel disease. Given list is:  LPP, UCK2,  YLPM1,  DAB2IP, IL23R",DOID:7147,DOID:0050589
"('gastric fundus cancer', 'duodenal ulcer')",PSCA,"CDKAL1, ADH1B, EML4, GSDMB",gastric fundus cancer,duodenal ulcer," GSDMB, PSCA, CDKAL1,  EML4,  ADH1B","Out of the given list, which Gene is associated with gastric fundus cancer and duodenal ulcer. Given list is:  GSDMB, PSCA, CDKAL1,  EML4,  ADH1B",DOID:10538,DOID:1724
"('lung adenocarcinoma', 'estrogen-receptor negative breast cancer')",TERT,"JRK, IL23R, PLG, PNPLA3",lung adenocarcinoma,estrogen-receptor negative breast cancer,"JRK,  PLG,  PNPLA3, TERT,  IL23R","Out of the given list, which Gene is associated with lung adenocarcinoma and estrogen-receptor negative breast cancer. Given list is: JRK,  PLG,  PNPLA3, TERT,  IL23R",DOID:3910,DOID:0060076
"('opiate dependence', 'lung small cell carcinoma')",ADGRV1,"IL23R, HLA-DQB2, RBFOX1, DLEU7",opiate dependence,lung small cell carcinoma,"IL23R,  HLA-DQB2, ADGRV1,  DLEU7,  RBFOX1","Out of the given list, which Gene is associated with opiate dependence and lung small cell carcinoma. Given list is: IL23R,  HLA-DQB2, ADGRV1,  DLEU7,  RBFOX1",DOID:2559,DOID:5409
"('male breast cancer', 'urticaria')",RAD51B,"ABO, PHGDH, TERT, BABAM1",male breast cancer,urticaria," BABAM1, RAD51B,  PHGDH, ABO,  TERT","Out of the given list, which Gene is associated with male breast cancer and urticaria. Given list is:  BABAM1, RAD51B,  PHGDH, ABO,  TERT",DOID:1614,DOID:1555
"('myositis', 'systemic scleroderma')",STAT4,"DMRT1, BTNL2, CLPTM1L, SLC2A9",myositis,systemic scleroderma," BTNL2, DMRT1, STAT4,  CLPTM1L,  SLC2A9","Out of the given list, which Gene is associated with myositis and systemic scleroderma. Given list is:  BTNL2, DMRT1, STAT4,  CLPTM1L,  SLC2A9",DOID:633,DOID:418
"(""Crohn's disease"", 'ulcerative colitis')",IL23R,"RBFOX1, CAPN14, UMPS, LPP",Crohn's disease,ulcerative colitis," CAPN14,  LPP,  UMPS, RBFOX1, IL23R","Out of the given list, which Gene is associated with Crohn's disease and ulcerative colitis. Given list is:  CAPN14,  LPP,  UMPS, RBFOX1, IL23R",DOID:8778,DOID:8577
"(""Crohn's disease"", 'inflammatory bowel disease')",IL23R,"TNRC18, HBB, LOXL1, RP1",Crohn's disease,inflammatory bowel disease," HBB, TNRC18, IL23R,  RP1,  LOXL1","Out of the given list, which Gene is associated with Crohn's disease and inflammatory bowel disease. Given list is:  HBB, TNRC18, IL23R,  RP1,  LOXL1",DOID:8778,DOID:0050589
"(""Takayasu's arteritis"", 'myelodysplastic syndrome')",HLA-B,"RBFOX1, ERAP1, CCDC33, PCDH15",Takayasu's arteritis,myelodysplastic syndrome," CCDC33,  PCDH15, RBFOX1, HLA-B,  ERAP1","Out of the given list, which Gene is associated with Takayasu's arteritis and myelodysplastic syndrome. Given list is:  CCDC33,  PCDH15, RBFOX1, HLA-B,  ERAP1",DOID:2508,DOID:0050908
"('cervix carcinoma', 'opiate dependence')",ADGRV1,"HYKK, BRCA2, HLA-DQA1, HOXD3",cervix carcinoma,opiate dependence,"HYKK,  HOXD3,  HLA-DQA1, ADGRV1,  BRCA2","Out of the given list, which Gene is associated with cervix carcinoma and opiate dependence. Given list is: HYKK,  HOXD3,  HLA-DQA1, ADGRV1,  BRCA2",DOID:2893,DOID:2559
"('central nervous system cancer', 'triple-receptor negative breast cancer')",TERT,"CACNA2D1, SLC17A4, KITLG, CAPN14",central nervous system cancer,triple-receptor negative breast cancer," SLC17A4,  KITLG,  CAPN14, CACNA2D1, TERT","Out of the given list, which Gene is associated with central nervous system cancer and triple-receptor negative breast cancer. Given list is:  SLC17A4,  KITLG,  CAPN14, CACNA2D1, TERT",DOID:3620,DOID:0060081
"('diffuse large B-cell lymphoma', ""Takayasu's arteritis"")",HLA-B,"RORA, HLA-DQA1, CRTC1, GTF2I",diffuse large B-cell lymphoma,Takayasu's arteritis," GTF2I,  HLA-DQA1, HLA-B,  CRTC1, RORA","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and Takayasu's arteritis. Given list is:  GTF2I,  HLA-DQA1, HLA-B,  CRTC1, RORA",DOID:0050745,DOID:2508
"('herpes zoster', 'myelodysplastic syndrome')",HLA-B,"KITLG, AHR, PTPRD, TMEM71",herpes zoster,myelodysplastic syndrome,"HLA-B,  TMEM71, KITLG,  PTPRD,  AHR","Out of the given list, which Gene is associated with herpes zoster and myelodysplastic syndrome. Given list is: HLA-B,  TMEM71, KITLG,  PTPRD,  AHR",DOID:8536,DOID:0050908
"('lung adenocarcinoma', 'central nervous system cancer')",TERT,"BTNL2, STAT4, SCN1A, POU5F1B",lung adenocarcinoma,central nervous system cancer," POU5F1B,  SCN1A,  STAT4, TERT, BTNL2","Out of the given list, which Gene is associated with lung adenocarcinoma and central nervous system cancer. Given list is:  POU5F1B,  SCN1A,  STAT4, TERT, BTNL2",DOID:3910,DOID:3620
"('neurotic disorder', 'neuromyelitis optica')",TNXB,"STAT4, LACC1, SFRP4, UMPS",neurotic disorder,neuromyelitis optica,"STAT4,  LACC1, TNXB,  UMPS,  SFRP4","Out of the given list, which Gene is associated with neurotic disorder and neuromyelitis optica. Given list is: STAT4,  LACC1, TNXB,  UMPS,  SFRP4",DOID:4964,DOID:8869
"('central nervous system cancer', 'lung carcinoma')",TERT,"MYBPC3, BTN2A1, STAT4, GCKR",central nervous system cancer,lung carcinoma,"MYBPC3,  GCKR,  STAT4, TERT,  BTN2A1","Out of the given list, which Gene is associated with central nervous system cancer and lung carcinoma. Given list is: MYBPC3,  GCKR,  STAT4, TERT,  BTN2A1",DOID:3620,DOID:3905
"('idiopathic pulmonary fibrosis', 'estrogen-receptor negative breast cancer')",TERT,"NTM, IGF2BP2, TNFSF15, STN1",idiopathic pulmonary fibrosis,estrogen-receptor negative breast cancer,"TERT,  TNFSF15, NTM,  IGF2BP2,  STN1","Out of the given list, which Gene is associated with idiopathic pulmonary fibrosis and estrogen-receptor negative breast cancer. Given list is: TERT,  TNFSF15, NTM,  IGF2BP2,  STN1",DOID:0050156,DOID:0060076
"('lung small cell carcinoma', 'opiate dependence')",ADGRV1,"TERT, CLPTM1L, CFH, FAT3",lung small cell carcinoma,opiate dependence," CFH,  CLPTM1L, TERT,  FAT3, ADGRV1","Out of the given list, which Gene is associated with lung small cell carcinoma and opiate dependence. Given list is:  CFH,  CLPTM1L, TERT,  FAT3, ADGRV1",DOID:5409,DOID:2559
"('dermatomyositis', 'childhood type dermatomyositis')",GSDMB,"HLA-B, POU5F1B, ADH1B, HLA-DQA1",dermatomyositis,childhood type dermatomyositis,"GSDMB,  HLA-DQA1,  ADH1B,  POU5F1B, HLA-B","Out of the given list, which Gene is associated with dermatomyositis and childhood type dermatomyositis. Given list is: GSDMB,  HLA-DQA1,  ADH1B,  POU5F1B, HLA-B",DOID:10223,DOID:14203
"('estrogen-receptor negative breast cancer', 'interstitial lung disease')",TERT,"ABO, PTPN22, PSCA, FAM227B",estrogen-receptor negative breast cancer,interstitial lung disease," FAM227B,  PTPN22,  PSCA, ABO, TERT","Out of the given list, which Gene is associated with estrogen-receptor negative breast cancer and interstitial lung disease. Given list is:  FAM227B,  PTPN22,  PSCA, ABO, TERT",DOID:0060076,DOID:3082
"('herpes zoster', 'allergic rhinitis')",HLA-B,"IGF2BP2, CACNA2D1, HLA-B, CLPTM1L",herpes zoster,allergic rhinitis," HLA-B, HLA-B, IGF2BP2,  CLPTM1L,  CACNA2D1","Out of the given list, which Gene is associated with herpes zoster and allergic rhinitis. Given list is:  HLA-B, HLA-B, IGF2BP2,  CLPTM1L,  CACNA2D1",DOID:8536,DOID:4481
"('focal epilepsy', 'epilepsy')",SCN1A,"DTNB, CPS1, ABCG2, LRMDA",focal epilepsy,epilepsy,"SCN1A,  ABCG2, DTNB,  LRMDA,  CPS1","Out of the given list, which Gene is associated with focal epilepsy and epilepsy. Given list is: SCN1A,  ABCG2, DTNB,  LRMDA,  CPS1",DOID:2234,DOID:1826
"('primary angle-closure glaucoma', 'periodontitis')",EPDR1,"SHTN1, POU5F1B, USHBP1, ADH1B",primary angle-closure glaucoma,periodontitis,"EPDR1,  ADH1B,  USHBP1,  POU5F1B, SHTN1","Out of the given list, which Gene is associated with primary angle-closure glaucoma and periodontitis. Given list is: EPDR1,  ADH1B,  USHBP1,  POU5F1B, SHTN1",DOID:1405,DOID:824
"('psoriasis', 'psoriatic arthritis')",HLA-B,"TNRC18, GRAMD1B, SFRP4, IGF2BP2",psoriasis,psoriatic arthritis," IGF2BP2,  GRAMD1B, TNRC18,  SFRP4, HLA-B","Out of the given list, which Gene is associated with psoriasis and psoriatic arthritis. Given list is:  IGF2BP2,  GRAMD1B, TNRC18,  SFRP4, HLA-B",DOID:8893,DOID:9008
"('triple-receptor negative breast cancer', 'lung adenocarcinoma')",TERT,"IGF1R, LRMDA, POU5F1B, PLG",triple-receptor negative breast cancer,lung adenocarcinoma,"TERT,  POU5F1B,  PLG, IGF1R,  LRMDA","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and lung adenocarcinoma. Given list is: TERT,  POU5F1B,  PLG, IGF1R,  LRMDA",DOID:0060081,DOID:3910
"('liver cirrhosis', 'head and neck cancer')",CACNA2D1,"YLPM1, HLA-DQA1, ADGRV1, STN1",liver cirrhosis,head and neck cancer,"CACNA2D1,  HLA-DQA1,  ADGRV1, YLPM1,  STN1","Out of the given list, which Gene is associated with liver cirrhosis and head and neck cancer. Given list is: CACNA2D1,  HLA-DQA1,  ADGRV1, YLPM1,  STN1",DOID:5082,DOID:11934
"('oropharynx cancer', 'autoimmune hepatitis')",HLA-DQB1,"C9, FBN1, TNXB, BTN3A1",oropharynx cancer,autoimmune hepatitis,"HLA-DQB1,  TNXB,  FBN1, C9,  BTN3A1","Out of the given list, which Gene is associated with oropharynx cancer and autoimmune hepatitis. Given list is: HLA-DQB1,  TNXB,  FBN1, C9,  BTN3A1",DOID:8557,DOID:2048
"('ulcerative colitis', 'ankylosing spondylitis')",IL23R,"SNTB1, MYH7, DTNB, ALDH1A2",ulcerative colitis,ankylosing spondylitis," ALDH1A2, IL23R,  DTNB, SNTB1,  MYH7","Out of the given list, which Gene is associated with ulcerative colitis and ankylosing spondylitis. Given list is:  ALDH1A2, IL23R,  DTNB, SNTB1,  MYH7",DOID:8577,DOID:7147
"('kidney disease', 'Kuhnt-Junius degeneration')",CFH,"GATA3, HLA-DQB2, TNNT2, DNMT3A",kidney disease,Kuhnt-Junius degeneration,"CFH,  HLA-DQB2,  DNMT3A,  TNNT2, GATA3","Out of the given list, which Gene is associated with kidney disease and Kuhnt-Junius degeneration. Given list is: CFH,  HLA-DQB2,  DNMT3A,  TNNT2, GATA3",DOID:557,DOID:10873
"('atrophic gastritis', 'duodenal ulcer')",PSCA,"CDK8, ATP2B1, CACNA1A, HOXD3",atrophic gastritis,duodenal ulcer," HOXD3,  ATP2B1, PSCA, CDK8,  CACNA1A","Out of the given list, which Gene is associated with atrophic gastritis and duodenal ulcer. Given list is:  HOXD3,  ATP2B1, PSCA, CDK8,  CACNA1A",DOID:8929,DOID:1724
"(""Takayasu's arteritis"", 'psoriatic arthritis')",HLA-B,"SCN1A, SNTB1, RELN, HLA-B",Takayasu's arteritis,psoriatic arthritis," RELN, HLA-B,  HLA-B,  SNTB1, SCN1A","Out of the given list, which Gene is associated with Takayasu's arteritis and psoriatic arthritis. Given list is:  RELN, HLA-B,  HLA-B,  SNTB1, SCN1A",DOID:2508,DOID:9008
"('rheumatic heart disease', 'autoimmune hepatitis')",HLA-DQB1,"ALDH1A2, TTLL5, SPRED2, TLR1",rheumatic heart disease,autoimmune hepatitis," SPRED2,  TTLL5,  TLR1, ALDH1A2, HLA-DQB1","Out of the given list, which Gene is associated with rheumatic heart disease and autoimmune hepatitis. Given list is:  SPRED2,  TTLL5,  TLR1, ALDH1A2, HLA-DQB1",DOID:0050827,DOID:2048
"('diffuse large B-cell lymphoma', 'psoriatic arthritis')",HLA-B,"RORA, TLR1, ADH1B, ARMS2",diffuse large B-cell lymphoma,psoriatic arthritis," ARMS2, RORA,  TLR1,  ADH1B, HLA-B","Out of the given list, which Gene is associated with diffuse large B-cell lymphoma and psoriatic arthritis. Given list is:  ARMS2, RORA,  TLR1,  ADH1B, HLA-B",DOID:0050745,DOID:9008
"('psoriatic arthritis', 'psoriasis')",HLA-B,"FAT3, FTO, TYR, DAB2IP",psoriatic arthritis,psoriasis,"HLA-B,  DAB2IP,  TYR,  FTO, FAT3","Out of the given list, which Gene is associated with psoriatic arthritis and psoriasis. Given list is: HLA-B,  DAB2IP,  TYR,  FTO, FAT3",DOID:9008,DOID:8893
"('interstitial lung disease', 'myeloproliferative neoplasm')",TERT,"IL23R, ZFPM2, THADA, IL23R",interstitial lung disease,myeloproliferative neoplasm," ZFPM2,  IL23R, TERT,  THADA, IL23R","Out of the given list, which Gene is associated with interstitial lung disease and myeloproliferative neoplasm. Given list is:  ZFPM2,  IL23R, TERT,  THADA, IL23R",DOID:3082,DOID:2226
"('myeloproliferative neoplasm', 'lung carcinoma')",TERT,"DMRT1, LPP, TENM2, UCK2",myeloproliferative neoplasm,lung carcinoma," LPP,  TENM2, DMRT1, TERT,  UCK2","Out of the given list, which Gene is associated with myeloproliferative neoplasm and lung carcinoma. Given list is:  LPP,  TENM2, DMRT1, TERT,  UCK2",DOID:2226,DOID:3905
"('interstitial lung disease', 'lung adenocarcinoma')",TERT,"SYT14, USHBP1, BARD1, CHST11",interstitial lung disease,lung adenocarcinoma," CHST11, SYT14, TERT,  BARD1,  USHBP1","Out of the given list, which Gene is associated with interstitial lung disease and lung adenocarcinoma. Given list is:  CHST11, SYT14, TERT,  BARD1,  USHBP1",DOID:3082,DOID:3910
"('oropharynx cancer', 'rheumatic heart disease')",HLA-DQB1,"DENND1A, VRK2, CACNA1A, TERT",oropharynx cancer,rheumatic heart disease,"DENND1A, HLA-DQB1,  VRK2,  TERT,  CACNA1A","Out of the given list, which Gene is associated with oropharynx cancer and rheumatic heart disease. Given list is: DENND1A, HLA-DQB1,  VRK2,  TERT,  CACNA1A",DOID:8557,DOID:0050827
"('rheumatic heart disease', 'oral cavity cancer')",HLA-DQB1,"IL23R, TM6SF2, SYT14, BTC",rheumatic heart disease,oral cavity cancer,"HLA-DQB1, IL23R,  TM6SF2,  BTC,  SYT14","Out of the given list, which Gene is associated with rheumatic heart disease and oral cavity cancer. Given list is: HLA-DQB1, IL23R,  TM6SF2,  BTC,  SYT14",DOID:0050827,DOID:8618
"('myeloproliferative neoplasm', 'estrogen-receptor negative breast cancer')",TERT,"BTBD9, MYH7, STAT4, ERAP1",myeloproliferative neoplasm,estrogen-receptor negative breast cancer," STAT4,  MYH7, BTBD9,  ERAP1, TERT","Out of the given list, which Gene is associated with myeloproliferative neoplasm and estrogen-receptor negative breast cancer. Given list is:  STAT4,  MYH7, BTBD9,  ERAP1, TERT",DOID:2226,DOID:0060076
"('myeloproliferative neoplasm', 'triple-receptor negative breast cancer')",TERT,"SCN1A, TGM2, COL22A1, ABO",myeloproliferative neoplasm,triple-receptor negative breast cancer," ABO, SCN1A, TERT,  TGM2,  COL22A1","Out of the given list, which Gene is associated with myeloproliferative neoplasm and triple-receptor negative breast cancer. Given list is:  ABO, SCN1A, TERT,  TGM2,  COL22A1",DOID:2226,DOID:0060081
"('herpes zoster', ""Takayasu's arteritis"")",HLA-B,"PRKN, FAM227B, CSNK2B, FGFR2",herpes zoster,Takayasu's arteritis," FAM227B, PRKN,  CSNK2B, HLA-B,  FGFR2","Out of the given list, which Gene is associated with herpes zoster and Takayasu's arteritis. Given list is:  FAM227B, PRKN,  CSNK2B, HLA-B,  FGFR2",DOID:8536,DOID:2508
"('cervix carcinoma', 'immunoglobulin alpha deficiency')",HLA-DQA1,"SAMD9L, PRKN, CDK8, CFH",cervix carcinoma,immunoglobulin alpha deficiency,"SAMD9L,  CDK8, HLA-DQA1,  CFH,  PRKN","Out of the given list, which Gene is associated with cervix carcinoma and immunoglobulin alpha deficiency. Given list is: SAMD9L,  CDK8, HLA-DQA1,  CFH,  PRKN",DOID:2893,DOID:0060025
"('anterior uveitis', 'ankylosing spondylitis')",ERAP1,"TNFSF15, UGT1A8, HBB, SYT14",anterior uveitis,ankylosing spondylitis," SYT14, TNFSF15,  UGT1A8,  HBB, ERAP1","Out of the given list, which Gene is associated with anterior uveitis and ankylosing spondylitis. Given list is:  SYT14, TNFSF15,  UGT1A8,  HBB, ERAP1",DOID:1407,DOID:7147
"('dengue hemorrhagic fever', 'intracranial aneurysm')",RP1,"FADS1, TLR1, GNE, UCK2",dengue hemorrhagic fever,intracranial aneurysm,"RP1,  TLR1,  UCK2,  GNE, FADS1","Out of the given list, which Gene is associated with dengue hemorrhagic fever and intracranial aneurysm. Given list is: RP1,  TLR1,  UCK2,  GNE, FADS1",DOID:12206,DOID:10941
"('nephrotic syndrome', 'rheumatic heart disease')",HLA-DQB1,"GSDMB, KALRN, CRTC1, SNTB1",nephrotic syndrome,rheumatic heart disease,"GSDMB,  KALRN,  SNTB1, HLA-DQB1,  CRTC1","Out of the given list, which Gene is associated with nephrotic syndrome and rheumatic heart disease. Given list is: GSDMB,  KALRN,  SNTB1, HLA-DQB1,  CRTC1",DOID:1184,DOID:0050827
"('intracranial aneurysm', 'dengue hemorrhagic fever')",RP1,"IGF1R, DLEU7, ATG5, BABAM1",intracranial aneurysm,dengue hemorrhagic fever,"RP1, IGF1R,  BABAM1,  DLEU7,  ATG5","Out of the given list, which Gene is associated with intracranial aneurysm and dengue hemorrhagic fever. Given list is: RP1, IGF1R,  BABAM1,  DLEU7,  ATG5",DOID:10941,DOID:12206
"('rheumatic heart disease', 'oropharynx cancer')",HLA-DQB1,"IL23R, PLA2G6, FAM13A, ADH1B",rheumatic heart disease,oropharynx cancer," PLA2G6, HLA-DQB1, IL23R,  FAM13A,  ADH1B","Out of the given list, which Gene is associated with rheumatic heart disease and oropharynx cancer. Given list is:  PLA2G6, HLA-DQB1, IL23R,  FAM13A,  ADH1B",DOID:0050827,DOID:8557
"('immunoglobulin alpha deficiency', 'membranous glomerulonephritis')",HLA-DQA1,"HLA-DQB1, CRTC1, MYH7, TNRC6B",immunoglobulin alpha deficiency,membranous glomerulonephritis,"HLA-DQA1, HLA-DQB1,  MYH7,  TNRC6B,  CRTC1","Out of the given list, which Gene is associated with immunoglobulin alpha deficiency and membranous glomerulonephritis. Given list is: HLA-DQA1, HLA-DQB1,  MYH7,  TNRC6B,  CRTC1",DOID:0060025,DOID:10976
"('systemic scleroderma', ""Sjogren's syndrome"")",STAT4,"SLC14A2, COL22A1, TDP2, KITLG",systemic scleroderma,Sjogren's syndrome," KITLG, STAT4, SLC14A2,  COL22A1,  TDP2","Out of the given list, which Gene is associated with systemic scleroderma and Sjogren's syndrome. Given list is:  KITLG, STAT4, SLC14A2,  COL22A1,  TDP2",DOID:418,DOID:12894
"('cutaneous lupus erythematosus', 'cervix carcinoma')",HLA-DQA1,"PRX, RAD51B, HIP1, CDK8",cutaneous lupus erythematosus,cervix carcinoma,"PRX,  CDK8,  HIP1, HLA-DQA1,  RAD51B","Out of the given list, which Gene is associated with cutaneous lupus erythematosus and cervix carcinoma. Given list is: PRX,  CDK8,  HIP1, HLA-DQA1,  RAD51B",DOID:0050169,DOID:2893
"('triple-receptor negative breast cancer', 'interstitial lung disease')",TERT,"YLPM1, FGFR2, AFAP1, ADGRG6",triple-receptor negative breast cancer,interstitial lung disease," ADGRG6,  FGFR2,  AFAP1, TERT, YLPM1","Out of the given list, which Gene is associated with triple-receptor negative breast cancer and interstitial lung disease. Given list is:  ADGRG6,  FGFR2,  AFAP1, TERT, YLPM1",DOID:0060081,DOID:3082
